,Kingdom,Phylum,Class,Order,Family,Genus,Species
Seq267,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
Seq268,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
Seq269,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,NA
Seq270,Bacteria,NA,NA,NA,NA,NA,NA
Seq271,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq272,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured marine bacterium
Seq273,Bacteria,NA,NA,NA,NA,NA,NA
Seq274,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured Chloroflexi bacterium HF4000_28F02,NA,NA
Seq275,Bacteria,NA,NA,NA,NA,NA,NA
Seq276,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq277,Bacteria,NA,NA,NA,NA,NA,NA
Seq278,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
Seq279,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq280,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq281,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,uncultured bacterium ARCTIC26_B_07
Seq282,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured marine thaumarchaeote SAT1000_22_C02,NA
Seq283,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,uncultured,hydrothermal vent metagenome
Seq284,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq285,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured Flavobacterium sp.,NA
Seq286,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq287,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq288,Bacteria,Planctomycetota,NA,NA,NA,NA,NA
Seq289,Bacteria,NA,NA,NA,NA,NA,NA
Seq290,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,uncultured organism,NA
Seq291,Bacteria,Patescibacteria,Parcubacteria,Candidatus Kaiserbacteria,uncultured prokaryote,NA,NA
Seq292,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,uncultured organism
Seq293,Bacteria,NA,NA,NA,NA,NA,NA
Seq294,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq295,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq296,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,NA
Seq297,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,NA
Seq298,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured Cytophaga sp.
Seq299,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,NA,NA
Seq300,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Stellarima microtrias,NA,NA
Seq301,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq302,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq303,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,uncultured proteobacterium
Seq304,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured Flavobacterium sp.,NA
Seq305,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae1,Alcanivorax,NA
Seq306,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal vent metagenome
Seq307,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,NA
Seq308,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured marine microorganism
Seq309,Bacteria,NA,NA,NA,NA,NA,NA
Seq310,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured marine bacterium
Seq311,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Pseudomonas sp.
Seq312,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq313,Bacteria,NA,NA,NA,NA,NA,NA
Seq314,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02 marine group,uncultured organism
Seq315,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq316,Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,NA
Seq317,Bacteria,NB1-j,uncultured prokaryote,NA,NA,NA,NA
Seq318,Bacteria,NA,NA,NA,NA,NA,NA
Seq319,Bacteria,NA,NA,NA,NA,NA,NA
Seq320,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,unidentified marine bacterioplankton,NA
Seq321,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq322,Bacteria,PAUC34f,uncultured bacterium HF0500_16O16,NA,NA,NA,NA
Seq323,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,NA
Seq324,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq325,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
Seq326,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA,NA
Seq327,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine eukaryote,NA,NA
Seq328,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium JGI 0000113-D11,NA,NA,NA,NA
Seq329,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
Seq330,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq331,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured planctomycete
Seq332,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium 413004-H17,NA,NA,NA,NA
Seq333,Bacteria,NA,NA,NA,NA,NA,NA
Seq334,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,uncultured,NA
Seq335,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,NA,NA,NA
Seq336,Bacteria,Chloroflexi,JG30-KF-CM66,marine metagenome,NA,NA,NA
Seq337,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq338,Bacteria,NA,NA,NA,NA,NA,NA
Seq339,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
Seq340,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq341,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq342,Bacteria,NB1-j,uncultured myxobacterium HF0200_01L06,NA,NA,NA,NA
Seq343,Bacteria,NA,NA,NA,NA,NA,NA
Seq344,Bacteria,NA,NA,NA,NA,NA,NA
Seq345,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured marine crenarchaeote SAT1000-49-D2,NA
Seq346,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured nuHF2 cluster bacterium HF0130_29D04
Seq347,Bacteria,NA,NA,NA,NA,NA,NA
Seq348,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,uncultured bacterium HF0770_08F21
Seq349,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
Seq350,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,hydrothermal vent metagenome,NA,NA
Seq351,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,NA
Seq352,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq353,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,metagenome
Seq354,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,NA,NA,NA
Seq355,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured verrucomicrobium HF0500_16O23,NA,NA
Seq356,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,NA
Seq357,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,NA
Seq358,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
Seq359,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,uncultured Fibrobacteres bacterium
Seq360,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
Seq361,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
Seq362,Bacteria,NA,NA,NA,NA,NA,NA
Seq363,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq364,Bacteria,NA,NA,NA,NA,NA,NA
Seq365,Bacteria,NA,NA,NA,NA,NA,NA
Seq366,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,Planctomycetes bacterium SCGC AAA282-C19
Seq367,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq368,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote HF10_15G04,NA,NA
Seq369,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
Seq370,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq371,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,NA
Seq372,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq373,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq374,Bacteria,NA,NA,NA,NA,NA,NA
Seq375,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,NA,NA,NA
Seq376,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,uncultured marine bacterium
Seq377,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,uncultured marine bacterium
Seq378,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq379,Bacteria,NA,NA,NA,NA,NA,NA
Seq380,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
Seq381,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,hydrothermal vent metagenome,NA,NA
Seq382,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq383,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02 marine group,uncultured planctomycete
Seq384,Bacteria,NA,NA,NA,NA,NA,NA
Seq385,Bacteria,NA,NA,NA,NA,NA,NA
Seq386,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured marine microorganism,NA,NA
Seq387,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,A714019,uncultured Verrucomicrobia bacterium
Seq388,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq389,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,uncultured,hydrothermal vent metagenome
Seq390,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,uncultured proteobacterium
Seq391,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq392,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine euryarchaeote DH148-W1,NA,NA
Seq393,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,uncultured marine bacterium Ant4D5,NA,NA,NA
Seq394,Bacteria,NA,NA,NA,NA,NA,NA
Seq395,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq396,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,NA
Seq397,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq398,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II/III euryarchaeote KM3_53_G07,NA,NA
Seq399,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Thaumarchaeota archaeon SCGC AAA007-O23,NA
Seq400,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq401,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group,uncultured Bacteroidetes/Chlorobi group bacterium
Seq402,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II/III euryarchaeote KM3_53_G07,NA,NA
Seq403,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq404,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
Seq405,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
Seq406,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq407,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,NA
Seq408,Bacteria,NA,NA,NA,NA,NA,NA
Seq409,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,uncultured Bacteroidetes/Chlorobi group bacterium
Seq410,Bacteria,NA,NA,NA,NA,NA,NA
Seq411,Bacteria,NA,NA,NA,NA,NA,NA
Seq412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq413,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq414,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA,NA
Seq415,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,hydrothermal vent metagenome,NA,NA
Seq416,Bacteria,NA,NA,NA,NA,NA,NA
Seq417,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq418,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq419,Bacteria,NA,NA,NA,NA,NA,NA
Seq420,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
Seq421,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq422,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
Seq423,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq424,Bacteria,NA,NA,NA,NA,NA,NA
Seq425,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,uncultured marine bacterium,NA,NA
Seq426,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq427,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,NA
Seq429,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,NA
Seq430,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
Seq431,Bacteria,NA,NA,NA,NA,NA,NA
Seq432,Bacteria,NA,NA,NA,NA,NA,NA
Seq433,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq434,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,marine metagenome,NA
Seq435,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq436,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
Seq437,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq438,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,NA
Seq439,Bacteria,NA,NA,NA,NA,NA,NA
Seq440,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq441,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
Seq442,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq443,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq444,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,NA,NA
Seq445,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,Thaumarchaeota archaeon SCGC AAA282-K18
Seq446,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq447,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Pelagicoccus,uncultured gamma proteobacterium
Seq448,Bacteria,NA,NA,NA,NA,NA,NA
Seq449,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
Seq450,Bacteria,NA,NA,NA,NA,NA,NA
Seq451,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq452,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,uncultured organism
Seq453,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopelagicus,NA
Seq454,Bacteria,NA,NA,NA,NA,NA,NA
Seq455,Bacteria,Firmicutes,NA,NA,NA,NA,NA
Seq456,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq457,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,uncultured marine bacterium
Seq459,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq460,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,NA
Seq461,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,NA
Seq462,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq463,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA,NA
Seq464,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,hydrothermal vent metagenome
Seq466,Bacteria,NA,NA,NA,NA,NA,NA
Seq467,Bacteria,NA,NA,NA,NA,NA,NA
Seq468,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine eukaryote,NA,NA
Seq469,Bacteria,NA,NA,NA,NA,NA,NA
Seq470,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Rhizosolenia imbricata,NA,NA
Seq471,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,uncultured Flavobacterium sp.
Seq472,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq473,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq474,Bacteria,Planctomycetota,Pla3 lineage,marine metagenome,NA,NA,NA
Seq475,Bacteria,NA,NA,NA,NA,NA,NA
Seq476,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,NA
Seq477,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02 marine group,uncultured planctomycete
Seq478,Bacteria,NA,NA,NA,NA,NA,NA
Seq479,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,NA
Seq480,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq482,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,uncultured marine bacterium,NA,NA
Seq484,Bacteria,NA,NA,NA,NA,NA,NA
Seq485,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured marine bacterium,NA,NA
Seq486,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq487,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Corethron pennatum,NA,NA
Seq488,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq489,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq490,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
Seq491,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,uncultured Planctomyces clone 7F15
Seq492,Bacteria,NA,NA,NA,NA,NA,NA
Seq493,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq494,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
Seq495,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,uncultured organism
Seq496,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq497,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq498,Bacteria,NA,NA,NA,NA,NA,NA
Seq499,Bacteria,NA,NA,NA,NA,NA,NA
Seq500,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq501,Bacteria,NA,NA,NA,NA,NA,NA
Seq502,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq503,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq504,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Saprospira sp. CNJ640
Seq505,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq506,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq507,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,uncultured marine bacterium
Seq508,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq509,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,uncultured Antarctic sea ice bacterium
Seq510,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,NA,NA,NA
Seq511,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured marine bacterium
Seq512,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq513,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
Seq514,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq515,Bacteria,NA,NA,NA,NA,NA,NA
Seq516,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,seawater metagenome,NA
Seq517,Bacteria,NB1-j,hydrothermal vent metagenome,NA,NA,NA,NA
Seq518,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq519,Bacteria,NB1-j,uncultured marine bacterium,NA,NA,NA,NA
Seq520,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
Seq521,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA,NA
Seq522,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,uncultured Cytophagia bacterium
Seq523,Bacteria,NA,NA,NA,NA,NA,NA
Seq524,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq525,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured Phycisphaeraceae bacterium
Seq526,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq527,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Seq528,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA,NA
Seq529,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,uncultured Parvibaculum sp.,NA
Seq531,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq532,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,uncultured Planctomyces clone 7F15
Seq533,Bacteria,Marinimicrobia (SAR406 clade),uncultured marine microorganism,NA,NA,NA,NA
Seq534,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote HF500_47D04,NA,NA
Seq535,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
Seq536,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq537,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq538,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq539,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq540,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured bacterium ARCTIC09_,D_03
Seq541,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,Rhodobacteraceae bacterium REDSEA-S34_B6
Seq542,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
